Date,Close
2019-06-20,9457.551258252439
2019-06-21,10014.62792900635
2019-06-22,10964.78551179518
2019-06-23,11026.550834753696
2019-06-24,10801.340970336536
2019-06-25,11637.482691788093
2019-06-26,13565.90946879956
2019-06-27,11719.954423271854
2019-06-28,12126.593972083178
2019-06-29,11759.549129420098
2019-06-30,11394.080943918212
2019-07-01,10669.44093900513
2019-07-02,10299.851757336914
2019-07-03,11800.445747518843
2019-07-04,11417.159268950865
2019-07-05,11080.194908140536
2019-07-06,11474.680148828022
2019-07-07,11367.78771133813
2019-07-08,12152.463602303043
2019-07-09,12596.089000880293
2019-07-10,12479.603318413225
2019-07-11,11455.928255304716
2019-07-12,11659.521313436198
2019-07-13,11199.17970342773
2019-07-14,10673.640499805315
2019-07-15,10756.277649899206
2019-07-16,10051.074148390275
2019-07-17,9664.913651701507
2019-07-18,10403.774821398107
2019-07-19,10359.023779227708
2019-07-20,10870.575513003372
2019-07-21,10503.30812494154
2019-07-22,10284.839977677777
2019-07-23,9973.010319386405
2019-07-24,9647.20315791107
2019-07-25,10014.609272615606
2019-07-26,9700.070368363246
2019-07-27,9787.554348605343
2019-07-28,9334.978675346967
2019-07-29,9531.704297886747
2019-07-30,9544.498295387664
2019-07-31,9958.886781647736
2019-08-01,10234.971806970778
2019-08-02,10518.427574648409
2019-08-03,10806.951785142304
2019-08-04,10771.256625456273
2019-08-05,11736.623737854003
2019-08-06,11830.806690144695
2019-08-07,11865.59131784135
2019-08-08,11624.608545316183
2019-08-09,11703.836638849749
2019-08-10,11481.030668847321
2019-08-11,11337.562714566502
2019-08-12,11287.851114451369
2019-08-13,10981.875356480417
2019-08-14,10283.819991804692
2019-08-15,10106.733601513464
2019-08-16,10141.959703688728
2019-08-17,10184.115336101731
2019-08-18,10302.772922683791
2019-08-19,10760.198579266176
2019-08-20,10660.927693803656
2019-08-21,10226.913700040634
2019-08-22,9944.939542872027
2019-08-23,10288.779134911852
2019-08-24,10065.659218845067
2019-08-25,10104.641443245568
2019-08-26,10388.361537667635
2019-08-27,10109.134551536896
2019-08-28,9891.432650858987
2019-08-29,9463.522635764482
2019-08-30,9500.725868324975
2019-08-31,9531.752454573892
2019-09-01,9661.181820717393
2019-09-02,10250.190403453398
2019-09-03,10588.60842636682
2019-09-04,10538.380864575174
2019-09-05,10473.334054845218
2019-09-06,10610.341999650198
2019-09-07,10437.898066417849
2019-09-08,10419.613795207526
2019-09-09,10170.53434955002
2019-09-10,10103.493764669885
2019-09-11,10024.719580724144
2019-09-12,10279.51191155058
2019-09-13,10223.6549012447
2019-09-14,10279.707308570189
2019-09-15,10252.489831531955
2019-09-16,10187.073747946564
2019-09-17,10141.93250704679
2019-09-18,10135.397336486447
2019-09-19,9986.124953840841
2019-09-20,10101.283323312033
2019-09-21,9977.337191425799
2019-09-22,9909.706492767426
2019-09-23,9774.825305402563
2019-09-24,8926.065915182531
2019-09-25,8491.167281672922
2019-09-26,8089.639625893514
2019-09-27,8097.024056512613
2019-09-28,8127.387186234846
2019-09-29,8030.556072661731
2019-09-30,8065.687806906524
2019-10-01,8365.122226594587
2019-10-02,8238.571870973698
2019-10-03,8187.64598166727
2019-10-04,8113.4594918082175
2019-10-05,8051.757140867133
2019-10-06,7968.441344636237
2019-10-07,8164.706818807885
2019-10-08,8209.377624894274
2019-10-09,8490.840028089282
2019-10-10,8470.605730103824
2019-10-11,8474.121658448283
2019-10-12,8324.116473329093
2019-10-13,8345.105865504487
2019-10-14,8280.88205792024
2019-10-15,8214.569156032012
2019-10-16,8007.263597392431
2019-10-17,8021.996078714155
2019-10-18,7940.766984625302
2019-10-19,7979.847782791599
2019-10-20,8159.889364109956
2019-10-21,8193.080217271068
2019-10-22,8113.844064017578
2019-10-23,7664.319141346976
2019-10-24,7419.983602272026
2019-10-25,8555.413923284908
2019-10-26,9869.129753092722
2019-10-27,9558.09969153774
2019-10-28,9519.888079847984
2019-10-29,9400.12019595084
2019-10-30,9137.860535099615
2019-10-31,9181.652291730716
2019-11-01,9142.399440113353
2019-11-02,9271.381420918253
2019-11-03,9177.141446414382
2019-11-04,9373.106385796997
2019-11-05,9269.966428016829
2019-11-06,9303.860853925315
2019-11-07,9186.461805828283
2019-11-08,8898.635059547218
2019-11-09,8788.964012457855
2019-11-10,8997.231457654423
2019-11-11,8784.79528754346
2019-11-12,8717.992934036483
2019-11-13,8717.273167816813
2019-11-14,8668.552752287025
2019-11-15,8515.435316425559
